Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy,Epoch_Train_Time_sec,Final_Test_Accuracy,Total_Training_Time_sec,Inference_Time_ms,Model_Size_MB,Parameter_Count
1,0.3356943865802553,0.19007299116253853,0.8959777777777778,0.9376,145.86039638519287,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
2,0.13594099587135844,0.15382017672210932,0.9547111111111111,0.9486,148.62349581718445,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
3,0.08949508140087127,0.1625562718153,0.9702,0.9486,149.01264214515686,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
4,0.0702404582394494,0.14973690987825394,0.9765333333333334,0.9528,148.5501856803894,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
5,0.05354076642956999,0.1481076649133116,0.9814444444444445,0.9534,149.04813957214355,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
6,0.04471146985689799,0.16849927594810724,0.9844666666666667,0.9498,148.6981611251831,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
7,0.04410479971965154,0.17818916729688644,0.9847333333333333,0.9466,148.93408489227295,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
8,0.03828754861089918,0.15910907011572273,0.9865333333333334,0.9554,148.71227526664734,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
9,0.027314389408628147,0.18227366896234454,0.9912222222222222,0.9482,148.74058890342712,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
10,0.02649742981294791,0.1599808283597231,0.9914,0.9506,148.58420205116272,0.9507,1600.524070739746,6.623547077178955,21.081336975097656,5526346
