Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy,Epoch_Train_Time_sec,Final_Test_Accuracy,Total_Training_Time_sec,Inference_Time_ms,Model_Size_MB,Parameter_Count
1,0.3601771161529753,0.20820349036455155,0.8837555555555555,0.9298,128.07780027389526,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
2,0.13342310746510824,0.17044673969745636,0.9576666666666667,0.9452,126.36936521530151,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
3,0.08002604774634044,0.15889699590802192,0.9750222222222222,0.946,125.97041773796082,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
4,0.05216606986920039,0.15535529826059938,0.9831777777777778,0.9484,129.301167011261,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
5,0.038549051287439136,0.13954629573682323,0.9886222222222222,0.9528,126.55699181556702,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
6,0.029179232782787747,0.15225595236942172,0.9914444444444445,0.952,127.23304557800293,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
7,0.024554278522729872,0.16804585312125273,0.9924666666666667,0.9486,126.60156965255737,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
8,0.023537503385543824,0.18463685156890425,0.9921333333333333,0.9492,126.0795350074768,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
9,0.021510246588786443,0.16359423393681646,0.9932222222222222,0.9536,125.87883853912354,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
10,0.019774435516198476,0.17708879698049276,0.9942666666666666,0.9492,126.53321695327759,0.9429,1382.0167055130005,5.341231822967529,42.69135284423828,11181642
